
2025/03/23 (14:15:57) | ===> btop++ v.1.3.0
2025/03/23 (14:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/23 (17:03:55) | ===> btop++ v.1.3.0
2025/03/23 (17:03:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/23 (17:18:30) | ===> btop++ v.1.3.0
2025/03/23 (17:18:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/23 (20:58:03) | ===> btop++ v.1.3.0
2025/03/23 (20:58:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/03/24 (13:20:43) | ===> btop++ v.1.3.0
2025/03/24 (13:20:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
